Code,isolation_forest_flag,isolation_forest_score,lof_flag,lof_score,pca_reconstruction_flag,pca_reconstruction_error,robust_mad_flag,max_abs_robust_z,n_outlier_methods_flagged,consensus_outlier_flag_2plus
34526,0,-0.04756938163064217,0,0.9963937696858511,0,0.01250419700584602,1,7.900401700710627,1,0
36324,0,-0.04633668166129157,0,0.9919025834071208,0,0.012792893675245838,1,7.90576285151301,1,0
37123,0,-0.14276181552409795,0,1.0061250070731522,0,0.03210318787661076,0,1.5188948106099445,0,0
37175,0,-0.14568835316835504,0,0.99901955216642,0,0.012189492516753176,0,1.040557361875248,0,0
37517,0,-0.14213276465923624,0,1.0050172278627616,0,0.017550880399985605,0,1.956303219631205,0,0
38090,0,-0.13069018213704153,0,1.0125476163527545,0,0.02850709425305356,0,1.4568456183916163,0,0
38479,0,-0.052110631693775555,0,1.2344725337237927,0,0.03797572714986335,1,3.6369743535331587,1,0
38779,0,-0.1147648996856852,0,1.0883521879392932,0,0.11497088496497404,0,3.1484441766958096,0,0
39223,0,-0.09102145775497356,0,1.0585114169325571,0,0.02283729089023407,1,4.362802564045618,1,0
39327,0,-0.09723039207932815,0,1.1244740281902996,0,0.005354419733740273,0,1.533388717063952,0,0
39965,0,-0.13095862571945127,0,1.0718125504454452,0,0.04610054909131769,0,3.047779798882742,0,0
39985,0,-0.13207959609104025,0,1.0315319194394825,0,0.00926116034664655,0,1.5661569563868105,0,0
40326,0,-0.08926849775003548,0,1.1521919902650708,0,0.0421730081946353,0,2.1113573258113743,0,0
40585,0,-0.02500991181699297,1,1.4542002917517949,0,0.06564846217316275,1,3.9925384920472125,2,1
40896,0,-0.12826550437550255,0,1.036255372576324,0,0.014709366671783485,0,2.8525687043637324,0,0
41368,0,-0.15084026923055804,0,0.9931817265537927,0,0.009691633605625445,0,1.457451561361555,0,0
41381,0,-0.050852869422023605,1,1.34705695144269,0,0.01920932533416981,1,6.258168605610142,2,1
41385,0,-0.1328585154106282,0,1.032329958088249,0,0.04753517436703984,0,2.4002892216071876,0,0
41428,0,-0.14847922969325134,0,0.982621048527838,0,0.017383942831879193,0,1.23115830181758,0,0
41463,0,-0.07233125088666287,0,1.168017866238458,0,0.019486484924370263,0,2.4775007019679522,0,0
42586,0,-0.1497083080353821,0,0.9688105232607777,0,0.028946782226353458,0,0.9760248350970134,0,0
42614,0,-0.019367186338606013,1,1.4310576282779877,0,0.05268348998840869,1,6.052094052368086,2,1
43079,0,-0.10964783121338639,0,1.0478125430459035,0,0.062305617077782,0,1.6518422108477606,0,0
43226,0,-0.08748364945423581,0,1.2997412779856428,0,0.06854902124647848,0,3.102651570705668,0,0
43234,0,-0.06159917837609208,0,1.243829535309587,0,0.03682846054795198,0,2.8598655142293254,0,0
44073,0,-0.07173488544722778,0,1.1737911610931215,0,0.030015504416483766,0,3.3251485703307013,0,0
47326,0,-0.07500211419418046,0,1.1841937762265546,0,0.02624827462688293,0,2.8373702058537495,0,0
47491,0,-0.10383292730193427,0,1.089292470078637,0,0.06486276456416672,0,1.930217161049739,0,0
47866,0,-0.1118672902432361,0,1.0579217658081217,0,0.039512205300359905,0,1.9916987731689102,0,0
47898,0,-0.1164521931627206,0,1.0728990455186231,0,0.06505119487953755,0,2.469248767065852,0,0
47938,0,-0.13803435242006468,0,1.022711579030833,0,0.040213476001416525,0,1.5494023695582348,0,0
48132,0,-0.14500360821954883,0,0.9786162211602129,0,0.023398109325562584,0,1.1261025142650407,0,0
50367,0,-0.11766154530517209,0,1.0481196443998393,0,0.016456054709398992,0,1.5704324152433535,0,0
50516,0,-0.0688271836895466,0,1.055726219255535,0,0.030952852739224386,1,3.8623715195358397,1,0
50896,0,-0.0720767240117054,0,1.3466203171537348,0,0.03361613736145274,0,3.051877614504132,0,0
50897,0,-0.1363958252704751,0,1.0189249931857627,0,0.013088890791621653,0,1.5422155778130402,0,0
51556,0,-0.09400316507511869,0,1.0859512849505466,0,0.06803640275896734,0,2.0674825698930372,0,0
51605,0,-0.14001460769225782,0,1.0266667668407465,0,0.057467384532236626,0,1.5745152127181807,0,0
54901,0,-0.11127881776706128,0,1.1949140397811362,0,0.04787823678101878,1,3.9961828594151845,1,0
61021,0,-0.14234303802632076,0,1.0137894515208092,0,0.046018486249828905,0,2.020192884253087,0,0
61899,0,-0.11969669271623401,0,1.241444429284869,0,0.051904264887909085,1,3.942005045155419,1,0
62155,0,-0.14895582118419431,0,0.9947995035719434,0,0.004771799440111322,0,1.3883003558622424,0,0
62276,0,-0.1270732151688947,0,1.0351479588698755,0,0.0418908947339999,0,2.028329774590793,0,0
71245,0,-0.11352073127199558,0,1.1917403200981258,0,0.0849647449807495,0,2.312967535562716,0,0
73281,0,-0.05421415504422972,0,1.0883496053516197,0,0.027190140504442552,1,3.552874891777407,1,0
73282,0,-0.12519293679187599,0,1.0190530132683873,0,0.060725685367615204,0,1.5690926119004687,0,0
73669,0,-0.08633337084058818,1,1.3610251715647395,0,0.0632099681903947,0,3.159326391006498,1,0
73670,0,-0.10275257594259918,1,1.3510796145748172,0,0.13287027451663302,1,6.646193791698575,2,1
73671,0,-0.005545055549083133,0,1.0027464216828779,0,0.09939055252673903,1,5.695689284612885,1,0
73674,0,-0.08145991362818839,0,1.2405114018294718,0,0.04297560991227394,0,2.3534441836789,0,0
83975,0,-0.1395025734225555,0,1.0247571183652633,0,0.027173645716060544,0,2.0653147668103062,0,0
84098,0,-0.13535562998500278,0,1.017128418294597,0,0.015248875109547654,0,2.0234423436864697,0,0
86102,1,0.0035658836785049663,1,1.5237062736040172,1,0.16645759412722758,1,3.678420481434269,4,1
86138,0,-0.10531430582020579,0,1.0887732162387869,0,0.02792213623439975,0,2.206834761153438,0,0
