Code,float_gauss1_core_min,float_gauss1_core_std,float_gauss2_core_min,float_gauss2_core_max,float_gauss2_core_mean,float_gauss2_core_std,float_repulsion_core_min,float_repulsion_core_max,float_repulsion_core_mean,float_repulsion_core_std,float_hydrophobic_core_max,float_hydrophobic_core_mean,float_gauss1_shell1_min,float_gauss2_shell1_max,float_gauss2_shell1_std,float_repulsion_shell1_min,float_hydrophobic_shell1_max
33360,-8.807020187,0.4955110848,-174.6266479,2.123136997,-0.3109777868,6.826195717,-4.093160152,0.1581870019,-0.007921630517,0.139580816,6.590240002,0.01987363584,-6.996329784,1.475119948,0.7918183804,-1.343197942,2.550172091
33500,-8.674070358,0.4806171358,-588.7912598,0.8935700059,-0.5693363547,16.18787575,-5.342679977,1.440919042,-0.008674004115,0.1905940473,6.212240219,0.01876157895,-6.909689903,1.475119948,5.757920742,-1.359153032,2.410552979
33565,-8.757329941,0.4867037237,-286.6922302,0.8935700059,-0.5327883363,9.636671066,-3.498059988,1.017688036,-0.004649863113,0.1091810241,5.972439766,0.01836518385,-7.156290054,1.475119948,2.230451822,-1.397632957,2.456176996
33775,-8.665459633,0.4656063616,-598.387207,0.8935700059,-0.8276136518,18.01510429,-2.665966988,1.233646989,-0.00523468852,0.1095061228,5.678209782,0.01812246628,-6.414050102,1.475119948,5.9332757,-1.663243055,2.688342094
34468,-8.669850349,0.5364764929,-56.55223083,0.8935700059,-0.1869577765,3.044756413,-2.620737076,0.4051220119,-0.005669945851,0.0979411304,6.521440029,0.01981086656,-8.255066872,1.475119948,0.5809904933,-1.377547979,2.327610016
34469,-8.556699753,0.4877647161,-237.2622375,4.072044849,-0.3813726008,7.89347744,-2.654298067,0.8338890076,-0.005354652181,0.1037176549,7.992715836,0.0220349133,-6.948160172,1.475119948,1.122193575,-1.541496038,2.547327995
34526,-8.544070244,0.4872300923,-199.602829,0.8935700059,-0.4775416553,8.110336304,-2.035335064,0.1581870019,-0.006312916521,0.08899640292,5.732749939,0.01821805537,-8.839488983,2.076539993,0.03390525281,-1.480746984,2.327610016
36324,-8.694239616,0.5013052225,-184.2579041,0.8935700059,-0.5452100039,8.868882179,-1.680173993,1.109485984,-0.003368622158,0.08243020624,6.242529869,0.01835659519,-8.840653419,2.076539993,0.03390525281,-1.487277985,2.327610016
37123,-8.681030273,0.4623443484,-258.8232422,2.09819603,-0.493419379,8.94799614,-2.659996986,0.1581870019,-0.006741935387,0.1123292297,6.133430004,0.01937714964,-6.835519791,1.475119948,2.373585939,-1.528311968,2.583745956
37175,-8.543450356,0.4757230878,-182.472229,0.8935700059,-0.4024291933,7.10388279,-3.582779884,0.1581870019,-0.007976778783,0.136558041,5.944990158,0.01850686036,-7.06690979,1.475119948,1.573937058,-1.442464948,2.4519701
37517,-8.938439369,0.4884628057,-348.7822266,2.218689919,-0.5141273141,10.54524612,-4.503439903,1.483342052,-0.007987028919,0.1775301844,6.028329849,0.01867979392,-7.095449924,1.475119948,3.087235451,-1.444764972,2.487591982
38090,-8.735059738,0.4862143993,-448.1242371,1.575170994,-0.629591167,13.56320286,-2.348751068,1.173522949,-0.004767363425,0.09895816445,5.992630005,0.01872439869,-7.384850025,1.475119948,3.88312912,-1.390545964,2.423085928
